pid,start_date,choices,starter_id,votes,poll_question,poll_only,poll_view_voters,poll_closed,poll_close_date
1,1323789938,"{""1"":{""question"":""Whodunnit?"",""choice"":{""1"":""Muslims"",""2"":""Breivik""},""votes"":{""1"":9,""2"":4}}}",4,13,"",0,0,0,-1
3,1329177813,"{""1"":{""question"":""Democracy has failed."",""choice"":{""1"":""NO MORE BROTHERS WARS"",""2"":""POOLS CLOSED""},""votes"":{""1"":9,""2"":5,""3"":null}}}",4,27,"THERE WAS A HUGE EDITING WAR AND WHAT WE HAVE LEARNED IS",0,0,0,-1
4,1331051316,"{""1"":{""question"":""Demographics gathered; thank you for your participation"",""choice"":{""1"":""Young"",""2"":""Young Adult"",""3"":""Adult"",""4"":""Older Adult"",""5"":""The grave calls me...""},""votes"":{""1"":1,""2"":31,""3"":5,""4"":3,""5"":1}}}",14,41,"Answer the Question",0,1,0,-1
6,1336699918,"{""1"":{""question"":""Do you have insomnia?"",""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":17,""2"":23}}}",0,40,"Do you have insomnia?",0,0,0,-1
11,1346905671,"{""1"":{""question"":""How would peer-to-peer and torrent downloads be handled?"",""choice"":{""1"":""It should be completely restricted to cut down on piracy of products and bandwidth resources"",""2"":""Well, I use it sometimes but not that often, so leave it as is now (illegal but mostly unregulated, like in the U.S.)"",""3"":""P2P and torrents are still good for legal purposes (free and open-source distribution) Regulate it to cut down on illegal content"",""4"":""P2P sharing should be fully legal, as far as I&#39;m concerned""},""votes"":{""1"":1,""2"":5,""3"":6,""4"":8}}}",274,20,"How would peer-to-peer and torrent downloads be handled in such a society?",0,0,0,-1
18,1376096622,"{""1"":{""question"":""Wasn&#39;t OP a faggot?"",""choice"":{""1"":""Probably Knight, readings off the charts"",""2"":""Might not be Knight, even though they have the same IP""},""votes"":{""1"":20,""2"":4}}}",6201,25,"How Gay is the OP?",0,1,0,-1
20,1376945053,"{""1"":{""question"":""Which one should KU ban?"",""multi"":1,""choice"":{""1"":""VikingHeritage"",""2"":""InTheRight""},""votes"":{""1"":15,""2"":11}}}",0,23,"Mexican or Muslim Immigrants which would you rather ?",0,0,0,-1
23,1382448437,"{""1"":{""question"":""Where do you live?"",""choice"":{""1"":""Midwest"",""2"":""East Coast"",""3"":""South"",""4"":""Pacific NorthWest"",""5"":""West\/South West""},""votes"":{""1"":9,""2"":19,""3"":12,""4"":5,""5"":8}}}",35,53,"Where do you live?",0,0,0,-1
24,1394861655,"{""1"":{""question"":""Will the fascists crush democracy?"",""choice"":{""1"":""Aye. Cruz mea lux"",""2"":""No. The SPLC will fight to the death. "",""3"":""Putin will invade Times Square first"",""4"":""This is clearly a plot by Crab People""},""votes"":{""1"":0,""2"":2,""3"":5,""4"":15}}}",6122,22,"",0,0,0,-1
25,1398889991,"{""1"":{""question"":""Is global climate change anthropogenic (human caused)?"",""choice"":{""1"":""Yes. The data overwhelmingly support it. [or other reasoning]"",""2"":""No. There are not enough data to prove it. [or other reasoning]""},""votes"":{""1"":12,""2"":16}}}",0,28,"Climate Change",0,1,0,-1
